Chemical,Product Name,Company,Location,Price,Phone
Acetone,"Acetone Solvent Chemical, 99%, Industrial Grade",Gayatri Industries,,₹ 82/Kg,
Acetone,"Acetone 500ml Srl, For Industrial Equipment Cleaning, Packaging Type: Plastic Bottle,Glass bottle",Uvsar India,,₹ 950/Litre,
Acetone,"ACETONE 99.5% AR, Chemical Grade, Packaging Type: Drum",ALPHA CHEMIKA,,₹ 422/Litre,
Acetone,Industrial Acetone Chemical,Viena Petrochem Private Limited,,₹ 45/Litre,
Acetone,"Acetone Liquid Chemical, 99.9 %, Industrial Grade",Aarthi Chemicals,,₹ 120/Kg,
Acetone,"Acetone 99.99 Tanker &Drums Bulk Quantity Available, For Industrial Equipment Cleaning, 160 kg Drum",Neha Chemicals,,₹ 90/Kg,
Acetone,"Liquid Acetone Chemical, 99%, Industrial Grade",B.K.Chemicals,,₹ 85/Kg,
Acetone,"Acetone Solvent Chemical, Industrial Grade",Insta Chemi Private Limited,,₹ 91/Kg,
Acetone,"Acetone Chemical, 99.90%, Industrial Grade",Suraj Enterprises,,₹ 75/Kg,
Acetone,"Diacetone Alcohol, 190 Kg Nett",A To Z Chemicals,,₹ 129/Kg,
Ethanol,"Lab Reagent LR Grade Denatured Ethanol 96% Chemical, 99%",Midaskem,,₹ 55/Litre,
Ethanol,"Buy Pure Ethanol, Industrial Grade, 99.5%",Gayatri Industries,,₹ 83/Litre,
Ethanol,"Fuel Grade Ethanol, 200 litres Drum, 99%",Ptcgram Private Limited,,₹ 56/Litre,
Ethanol,"Lab Reagent LR Grade ETHANOL Extra Pure 99-99.5%, 20 Litres Can",ALPHA CHEMIKA,,₹ 842/1 litre,
Ethanol,Denatured Ethanol Lab Grade,Nanda Multi Chem,,₹ 180/Litre,
Ethanol,500ml Liquid Ethanol Components,Kamdhenu Dairy Equipments,,₹ 280/Litre,
Ethanol,400ml Dilute Ethanol Zee Spirit,Faith Pharmacy,,Not listed,
Ethanol,Analytical AR Grade Laboratory Ethanol Fisher,Labstream Instruments,,₹ 850/Litre,
Ethanol,"Transparent Ethanol Ar 99 9, 500 ml",Subala Labchem,,₹ 190/Litre,
Ethanol,"99.9% Ethanol Chemical, Industrial Grade, 99.99%",Krivaana Industries LLP,,₹ 75/Litre,
Methanol,"Distilled Methanol Liquid, 200 Litres Drum, 98%",Gayatri Industries,,₹ 30/Litre,
Methanol,"Liquid Methanol Chemical, For Packaging Industry",Rex International,,₹ 32.5/Litre,
Methanol,"Methanol Importer ., 99%",Keshariya Corporation,,₹ 32/Litre,
Methanol,Liquid Methanol Alcohol,Sunsolve (India) Chemical,,₹ 30/Kg,
Methanol,"Industrial Grade Spent Methanol- Mix Solvent, 80%",Hi-Tech Chemicals (Converters),,Not listed,
Methanol,"Distilled Methanol ( Methyl Alcohol ), For Solvent in paints, 99%",Thrive Chemicals,,₹ 30/Litre,
Methanol,Methanol,Charu Chem & La Services,,₹ 35/Litre,
Methanol,Methanol,Memba Chem Industries Private Limited,,Not listed,
Methanol,Methanol Methyl Alcohol,Solvo-Chem (India) Pvt. Ltd.,,Not listed,
Methanol,"Methanol Liquid Form, >99%",Ptcgram Private Limited,,₹ 30/Litre,
