Chemical,Product Name,Company,Location,Price,Phone
Citric Acid,Citric Acid,Triveni Chemicals,,Not listed,Still hidden after click
Citric Acid,Monohydrate Citric Acid,Redicalchem,"First Floor, 48,Gruham Icon, Kosad, Surat - 394107, Dist.Surat, Gujarat",₹ 70/Kg,Still hidden after click
Citric Acid,"Ensign Citric Acid, For Industrial, Packaging Type: Bag",Shri Ram Associates,,₹ 90/Kg,Still hidden after click
Citric Acid,"CITRIC ACID, Powder, Packaging Type: Bag",Aqua Clean,,₹ 95/Kg,Still hidden after click
Citric Acid,"Srinidhi Citric Acid, Packaging Type: Packet, Packaging Size: 500 G",Srinidhi Enterprises,,Not listed,Still hidden after click
Citric Acid,Citric Acid,S P Group Of Services LLP,,₹ 70/Kg,Still hidden after click
Citric Acid,"Citric Acid, Crystal",Chem Exim India,,₹ 85/Kg,Still hidden after click
Citric Acid,Citric Acid,Desire Chemicals Private Limited,,₹ 82/Kg,Still hidden after click
Citric Acid,"Citric Acid For Textile Grade, Powder, Packaging Size: 25 kg",Gupta Chemical Industries,,₹ 68/Kg,Still hidden after click
Citric Acid,"Industrial Monohydrate Citric Acid, Packaging Size: 25 Kg, Packaging Type: Bag",Jentex Alkalis,,₹ 85/Kg,Still hidden after click
Xanthan Gum,Powder Xanthan Gum 200 Mesh by Fufeng,Arboreal Bioinnovations Private Limited,,₹ 335/Kg,Still hidden after click
Xanthan Gum,"Powder Fufeng Xanthan Gum, Packaging Type: Bag, Packaging Size: 25 Kg",H R Chemicals,,₹ 280/Kg,Still hidden after click
Xanthan Gum,"Xanthan Gum For Food Industry, Cultivation Type: Powder, Packaging Size: 25 kg",N R Life Care,,₹ 287/Kg,Still hidden after click
Xanthan Gum,"Xanthan - Gum, For in Food Industry, Packaging Size: 25 kg",Swastik Gum Industries (India),,₹ 275/Kg,Still hidden after click
Xanthan Gum,Food Grade Xanthan Gum,Advance Inorganics,,₹ 300/Kilogram,Still hidden after click
Xanthan Gum,"Fufeng Xanthan Gum, For Industrial, Packaging Size: 25 kg",Tiwari Brothers,,₹ 420/Kg,Still hidden after click
Xanthan Gum,"Powder Fufeng Xanthan Gum, Packaging Type: Bag, Packaging Size: 25 kg",Labh Additives,,₹ 300/Kg,Still hidden after click
Xanthan Gum,Powder USP Grade Fufeng Xanthan Gum,Heart Angel Cosmochem Impex,,"₹ 1,200/Kg",Still hidden after click
Xanthan Gum,Powder Xanthan Gum,Scope Ingredients Pvt. Ltd.,,"₹ 3,000/Kg",Still hidden after click
Xanthan Gum,"Powder Food Grade Xanthan Gum, Packaging Type: Bag, Packaging Size: 25 Kg",Neeraj Chem,,₹ 280/Kg,Still hidden after click
Guar Gum,"Powder Chemical Grade Guar Gum, Packaging Type: PP Bag",Abdullabhai Abdulkader (Ahmedabad),,₹ 120/Kg,Still hidden after click
Guar Gum,"Powder Food Grade Cyamopsis Tetragonoloba (Guar) Gum, Packaging Type: HDPE Bag, Packaging Size: 25 Kg",Swastik Gum Industries (India),,₹ 118/Kilogram,Still hidden after click
Guar Gum,"Industrial Guar Gum, Packaging Type: Loose, Packaging Size: 25 kg",Cyamopsis Biotech (India) Private Limited,,₹ 109/Kg,Still hidden after click
Guar Gum,"Solid Guar Gum, For Medical, Packaging Type: Bag",Kachabo Gums,,₹ 95/Kg,Still hidden after click
Guar Gum,"Crystal Guar Gum, Packaging Type: HDPE Bag, Packaging Size: 25 Kg",Kapadia Gumchem Industries,,₹ 140/Kg,Still hidden after click
Guar Gum,White AGBV Textile Grade Guar Gum,Maruti Hydrocolloids,,Not listed,Still hidden after click
Guar Gum,"Food Grade Guar Gum, Packaging Type: PP Bag, Packaging Size: 25 Kg",Badar Enterprises,,₹ 129/Kg,Still hidden after click
Guar Gum,Powder Food Grade Guar Gum,Amit Cellulose Products,,₹ 145/Kg,Still hidden after click
Guar Gum,"Food Grade Powder Guar Gum, Packaging Size: 25 Kg",Gaefa Biochem Corporation Private Limited,,Not listed,Still hidden after click
Guar Gum,"Guar Gum, For Industrial, Packaging Size: 25 kg",Naveen Enterprise,,₹ 140/Kg,Still hidden after click
Glycerin,"Godrej Refined Glycerine, 99.5%, Industrial Grade",Chemco India Chemicals & Fertilizers,,₹ 80/Kg,Still hidden after click
Glycerin,Crude Glycerine,Aditya Overseas,,₹ 50/Kg,Still hidden after click
Glycerin,"Pure Vegetable Glycerine, Packaging Size: 50kg",Benzer Multi Tech India Private Limited,,₹ 130/Kg,Still hidden after click
Glycerin,Refined Glycerine Liquid,"Shivam Industries, Mumbai",,Not listed,Still hidden after click
Glycerin,"Glycerin IP / BP, Grade Standard: Pharmaceutical Grade",Niram Chemicals,,₹ 80/Kg,Still hidden after click
