Chemical,Product Name,Company,Location,Price,Phone
Citric Acid,"Citric Acid, Packaging Type: Hdpe Bag With Liner, Packaging Size: 25 Kg",Akshar Chemicals,,₹ 64/Kg,08048988504
Citric Acid,"Citric Acid supplier in India, Powder, kg",Riya Organics,,Not listed,07949373241
Citric Acid,"Citric Acid, For Food Industry, Packaging Size: 25 kg Bag",Shah Chemicals,,Not listed,07942801417
Citric Acid,"Citric Acid, Crystal, Packaging Type: Loose",Tejas International,,₹ 35/Kg,08048982652
Citric Acid,"Food Grade Citric Acid, Packaging Type: Packet",AJ Corporation,,₹ 50/Kg,08048987801
Citric Acid,"Citric Acid Powder, Packaging Type: Bag, Packaging Size: 180kg",Benzer Multitech India Private Limited,,₹ 85/Kg,08048602352
Citric Acid,"Citric Acid, Powder",Bagmull & Sons,,₹ 66/Kg,07942562770
Citric Acid,"Ensign Citric Acid Monohydrate, Packaging Type: Bag, Packaging Size: 25 Kg",Vardhman & Sons,,₹ 50/Kg,08048607488
Citric Acid,"Citric Acid Anhydrous, Packaging Size: 25 Kg, Packaging Type: Sack Bag",Sudarshan Chem,,₹ 78/Kg,08047634415
Citric Acid,"Citric Acid Chemical, Grade Standard: Food Grade, Packaging Size: 25 kg",Panchamrut Chemicals,,₹ 80/Kg,08048965188
Xanthan Gum,"Powder Fufeng Xanthan Gum, Packaging Type: Bag, Packaging Size: 25 Kg",H R Chemicals,,₹ 280/Kg,08047546341
Xanthan Gum,"Powder Xanthan Gum 200 Mesh, Packaging Type: Bag, Packaging Size: 25 Kg",Devson Impex Private Limited (Head Office),,₹ 250/Kg,08048977099
Xanthan Gum,"Xanthan Gum Powder, Packaging Type: Hdpe Bag, Packaging Size: 30 kg",Panchamrut Chemicals,,₹ 200/Kilogram,08048965188
Xanthan Gum,"96% Xanthan Gum Powder, Packaging Type: Bag, kg",Perry Impex,,₹ 400/Kg,08046073344
Xanthan Gum,"Food Grade 25 kg Fufeng Xanthan Gum, Packaging Type: Bag",Paramount Chemical & Acid Corporation,,₹ 265/Kg,08048989395
Xanthan Gum,"Powder Food Grade Xanthan Gum 200 Mesh, Packaging Type: HDPE Bag, Packaging Size: 50",Kachabo Gums,,₹ 650/Kg,08048967369
Xanthan Gum,"Powder Fufeng Xanthan Gum, For Food, Packaging Size: 25 kg",PY Chemical Industries,,₹ 220/Kg,08046073673
Xanthan Gum,"Xanthan - Gum, For in Food Industry, Packaging Size: 25 kg",Swastik Gum Industries (India),,₹ 275/Kg,08048985116
Xanthan Gum,"Powder Xanthan Gum, Packaging Size: 25 Kg",Prakash Chemicals Agencies Private Limited,,₹ 195/Kg,08048272746
Xanthan Gum,"Xanthan Gum For Food Industry, Cultivation Type: Powder, Packaging Size: 25 kg",N R Life Care,,₹ 287/Kg,08048606621
Guar Gum,"ALPHA White GUM GUAR Extra Pure, kg",ALPHA CHEMIKA,,₹ 577/Kg,08048602756
Guar Gum,"Crystal Guar Gum, Packaging Type: HDPE Bag, Packaging Size: 25 Kg",Kapadia Gumchem Industries,,₹ 140/Kg,08043856097
Guar Gum,Guar Gum Powder,Kantilal Brothers,,Not listed,08046047252
Guar Gum,Powder Food Grade Guar Gum,Amit Cellulose Products,,₹ 145/Kg,08046060458
Guar Gum,"GUAR GUM POWDER, 25 kg",Hemadri Chemicals,,₹ 143/Kg,08047646492
Guar Gum,Guar Gum,Ace International,,Not listed,08046064430
Guar Gum,Industry Grade Guar Gum Powder,Powder Pack Chem,,₹ 280/Kg,08046047024
Guar Gum,"Cosmetic Solcolloid EGM (Carboxymethyl Hydroxyethyl Guar ), Packaging Size: 25 kg, Packaging Type: Can",Associated Chemicals,,Not listed,07949285063
Guar Gum,"Powder Industrial Grade Guar Gum, Packaging Type: Bag, Packaging Size: 25 kg",Labh Additives,,₹ 130/Kg,08047314902
Guar Gum,"Crystal Guar Gum, Packaging Size: 25 Kg, Packaging Type: HDPE Bag",Mahakali Gums,,₹ 145/Kilogram,08046064124
Glycerin,"Refined Glycerine Ip Grade, Packaging Size: 250kg",Acme Chemicals,,₹ 89/Kg,08048951588
Glycerin,"Refined Glycerine Cp Grade, kg",Drasshti Impex,,₹ 95/Kg,08048952861
Glycerin,"Godrej Glycerine chemical, kg",Panchamrut Chemicals,,₹ 60/Kg,08048965188
Glycerin,"Glycerine 99.5% All Grades, Packaging Size: 250kg",D2C Chemicals,,₹ 62/Kg,07942786830
Glycerin,"Lab Grade Liquid Glycerine, Packaging Size: 50kg",Excel International,,₹ 200/Kg,08048957044
Glycerin,"Industrial Grade Monoethylene glycol MEG, 230 kg Drum, 99%",Atulya Chemicals,,Not listed,08046060885
Glycerin,"Petrochemical Glycerine Glycerol, Packaging Size: 50kg",Benzer Multi Tech India Private Limited,,"₹ 2,356/Litre",08046043190
Glycerin,"Refined Glycerine, 98%, Packaging Size: 25 Kg",Pawan Chemicals,,₹ 260/Kg,08048969987
Glycerin,"Glycerin, Packaging Size: 250kg",Kip Chemicals Private Limited,,Not listed,08047763552
Glycerin,"Glycerine, Packaging Size: 200kg",Mangal Biochem,,₹ 65/Kg,08047696510
Aspartame,"Aspartame White Powder, Packaging Type: Drum, Packaging Size: 50 Kg",Panchamrut Chemicals,,₹ 900/Kg,08048965188
Aspartame,"Aspartame Powder, For Pharmaceutical, kg",Nandlal Bankatlal Private Limited,,₹ 900/Kg,08047631198
Aspartame,"Aspartame Sweetener Powder, Packaging Size: 25 kg",Forbes Pharmaceutical,,"₹ 2,100/Kg",08048954143
Aspartame,"Aspartame Sweetener Powder, Packaging Size: 25 kg",D2C Chemicals,,₹ 900/Kg,07942786830
Aspartame,"Aspartame- Artificial Sweetener Powder, Packaging Type: PP Bag, Packaging Size: 25 kg / 1",Ariheet Pharmachem LLP,,₹ 950/Kg,08048951948
Aspartame,"Aspartame Powder, For Beverages, Packaging Size: 25 kg",Rashi Pharma Care Private Limited,,"₹ 1,100/Kg",08044015553
Aspartame,"Pure Aspartame Powder, For Pharmaceutical, Packaging Size: 25Kg",Chemkart India Private Limited,,"₹ 1,240/Kilogram",08048608430
Aspartame,"Aspartame, Packaging Size: 25 Kg, Packaging Type: Pp Bag",Prado Chemical,,"₹ 1,000/Kilogram",08048979013
Aspartame,"Aspartame Sweetener Powder, Packaging Type: Pouch, Packaging Size: 1 Kg",Jolly Boy Nutrition Private Limited,,"₹ 1,200/Kg",08047629478
Aspartame,"Aspartame Sweetener Powder, Packaging Type: Corrugated Boxes, Packaging Size: 25 kg",India Atlantic Chemicals Trading Private Limited,,₹ 960/Kilogram,08047637781
Lactic Acid,"Lactic Acid 88%, For Commercial, Packaging Size: 6kg",D2C Chemicals,,₹ 215/Kg,07942786830
Lactic Acid,"Liquid Lactic Acid, For Bakery, Packaging Size: 25 Kg",Lotus Marketing,,₹ 170/Kg,07942831185
Lactic Acid,"Lactic Acid, For Industrial, Packaging Type: 35 kg",Arham Chemical,,₹ 150/Kg,07942551749
Lactic Acid,"Lactic Acid, For Commercial, Packaging Size: 50 KG Drum",Arka,,₹ 150/Kg,07942834734
Lactic Acid,"Lactic Acid 89%, Packaging Type: Drum, Pack Size: 255 Kg",Gayatri Industries,,₹ 150/Kg,08046058840
Lactic Acid,"Lactic Acid, For Industrial, Packaging Size: 25 kg / 50 kg",Vinipul Chemicals Private Limited,,₹ 60/Kg,07942959107
Lactic Acid,"Lactic Acid, For Industrial, Packaging Size: 10 Kg",United Enterprises,,₹ 175/Kg,08048612856
Lactic Acid,"Lactic Acid 80 Edible, For Industrial, Packaging Size: 25 Kg",Keval Corporation,,₹ 171/Kg,08043850526
Lactic Acid,"Lactic Acid Food Grade, For Industrial, Packaging Size: 200kg",Nakoda Enterprise,,₹ 160/Kg,08047543141
Lactic Acid,"Lactic Acid, kg",Maa Saptashrungi Chemicals,,₹ 195/Kg,08043892220
Sodium Benzoate,"Sodium Benzoate Ip Grade, 25 kg",Ketan Chemical Corporation,,₹ 100/Kg,08048969666
