Chemical,Product Name,Company,Location,Price,Phone
FRK Rice Premix,"Instant Food Pre-mix Cook And Eat Jeera Rice For HORECA and Cloud Kitchen, 1 KG, Packaging Type: Plastic Bag",Rajsudha Enterprises,,₹ 219.56/Kg,08046035715
FRK Rice Premix,"FRK Rice Premix, kg",Vitaline Nutri Foods Private Limited,,₹ 250/Kg,07942871122
FRK Rice Premix,"Truecare Vitamin Mineral Premix FRK Rice Kernels, kg",Truecare Foods Pvt. Ltd.,,₹ 160/Kg,08048612750
FRK Rice Premix,"Ultramix XL PDS FRK Rice Fortification Premix, Packaging Size: 25 kg, Packaging Type: Bag",Intercorp Biotech Limited,,₹ 230/Kg,07943438469
FRK Rice Premix,"FRK Rice Premix, kg",Pre Nutrics Foods,,₹ 165/Kg,08046067647
FRK Rice Premix,"Super Vitamin Premix FRK, kg",M/s Sai Foods,,₹ 220/Kg,08046075518
FRK Rice Premix,"MICRONISED PREMIX FOR FORTIFIED RICE PREMIX, Packaging Size: 25 kg",Unipearl Pharmaceuticals & Chemicals,,₹ 175/Kg,08048960592
FRK Rice Premix,"White Premix For Fortified Rice Kernels, 25 kg, Bag",Satna Industries,,₹ 170/Kg,07949221567
FRK Rice Premix,Frk Rice Fortification Micronutrient Premix,Provicure Life Sciences,,₹ 350/Kg,08047648606
FRK Rice Premix,Vitamin Mineral Premix Powder For Frk,Global Nutrition,,₹ 160/Kg,07942718281
FRK Rice Premix,"Fortimix premix for FRK Rice by United Food and Labs, Packaging Size: 25 kg",United Food And Labs,,₹ 151/Kg,"08047668921,7732"
FRK Rice Premix,"Micronutrient Premix For FRK/Fortification Of Rice, kg",Lucky Enterprises,,₹ 200/Kg,08046073451
FRK Rice Premix,"Micronutrient Premix For Frk, kg",Bfi Nutra Premix,,₹ 155/Kg,"08047833451,5399"
FRK Rice Premix,"MICRONUTRIENT FRK PREMIX, kg",Banbhauri Chemicals,,₹ 215/Kg,"08047839529,8570"
FRK Rice Premix,"Ferric Pyrophosphate Food Grade, For Industrial, Packaging Type: 20kg BOPP Laminated Bag",Arawan Solutions Private Limited,,₹ 160/Kg,08047834520
FRK Rice Premix,MICRONUTRIENT PREMIX FOR BOILED FRK,Jykun Traderoutes Private Limited,,Not listed,"08044464741,6634"
FRK Rice Premix,"PREMIX FOR FRK RICE, kg",H.R. Agro Foods,,₹ 290/Pack,08047548907
FRK Rice Premix,25kg FRK Premix,Sauravique Agro Private Limited,,"₹ 4,880/Kg",08046055082
FRK Rice Premix,"Premix for Parboiled Rice FRK, kg",Optima Foodtech Private Limited,,₹ 295/Kg,"08044464753,4407"
FRK Rice Premix,25 kg BB Vita Forte Premix For FRK,Brothers Biotech,,Not listed,"08044016794,8895"
